image,number of instances,sunburn_ratio,diameter,circularity,density,aspect ratio,grade,average_hue,predict,Thinning
/workspace/regression_data/images1/Copy of IMG_20170301_102620.jpg,72,0.0,0.0035750409148811828,0.4583333333333333,0.4989169330659073,1.3114406779661016,0,25.875,130,True
/workspace/regression_data/images1/20170330_132556_HDR.jpg,42,0.2857142857142857,0.0008827164768391601,0.5476190476190477,2.390224001986714,2.1611721611721606,2,85.30952380952381,54,True
/workspace/regression_data/images1/20170330_115021_HDR.jpg,71,0.2112676056338028,0.0013683742847898199,0.4647887323943662,1.5100938708839002,1.6286826014452471,2,107.25352112676056,128,True
/workspace/regression_data/images1/objfolder20141229-40A-row2-centrePost5-vine6.jpg,38,0.02631578947368421,0.00189389756514172,0.5,1.4493751716017569,1.3383458646616542,1,39.31578947368421,72,True
/workspace/regression_data/images1/Copy of IMG_20170301_102620.jpg,72,0.0,0.0035750409148811828,0.4583333333333333,0.4989169330659073,1.3114406779661016,0,25.875,130,True
/workspace/regression_data/images1/20170330_132556_HDR.jpg,42,0.2857142857142857,0.0008827164768391601,0.5476190476190477,2.390224001986714,2.1611721611721606,2,85.30952380952381,54,True
/workspace/regression_data/images1/20170330_115021_HDR.jpg,71,0.2112676056338028,0.0013683742847898199,0.4647887323943662,1.5100938708839002,1.6286826014452471,2,107.25352112676056,128,True
/workspace/regression_data/images1/objfolder20141229-40A-row2-centrePost5-vine6.jpg,38,0.02631578947368421,0.00189389756514172,0.5,1.4493751716017569,1.3383458646616542,1,39.31578947368421,72,True
/workspace/regression_data/images1/20170330_092234_HDR.jpg,30,0.06666666666666668,0.0032945448358196678,0.6333333333333333,0.3687195727508353,2.1596203623813635,2,75.93333333333334,34,False
/workspace/regression_data/images1/Copy of IMG_20170301_101508_bb8b95b7-5d7c-4799-be0c-b0b4f12a582c.jpeg,28,0.0,0.0029151365977858486,0.4642857142857143,0.4666365262100578,1.0070921985815602,0,26.17857142857143,48,False
/workspace/regression_data/images1/20170301_112049_HDR.jpg,32,0.1875,0.003372370312524011,0.5,0.3267483604389772,1.4742129939718691,2,27.25,48,False
/workspace/regression_data/images1/Copy of IMG_20170301_103645.jpg,81,0.0,0.0032840908943446018,0.4444444444444444,0.4880484622789684,1.053921568627451,0,26.12345679012345,134,True
/workspace/regression_data/images1/20170330_105528_HDR.jpg,20,0.05,0.0022446925002469584,0.65,0.34589713236069225,1.4534124629080118,2,82.5,31,False
/workspace/regression_data/images1/objfolder20141229-40A-row14-centrePost20-vine1.jpg,53,0.018867924528301886,0.0017615655963481378,0.660377358490566,1.444899162853994,1.659846547314578,1,33.679245283018865,88,True
/workspace/regression_data/images1/Copy of IMG_20170301_101237_306d054e-4f10-4c7f-bde6-deaf205a6dae.jpeg,38,0.0,0.0028840939102764834,0.5263157894736842,0.4371897277153893,1.4239631336405534,0,26.052631578947373,65,True
/workspace/regression_data/images1/Copy of IMG_20170301_103325.jpg,11,0.09090909090909093,0.002884627838601464,0.4545454545454545,0.34760877507126464,0.7754237288135594,1,20.545454545454547,43,False
/workspace/regression_data/images1/20170301_111807_HDR.jpg,33,0.030303030303030307,0.0034644766416308827,0.6060606060606061,0.4428484175104601,1.3761665470208184,1,27.96969696969697,67,True
/workspace/regression_data/images1/20170301_111908_HDR.jpg,25,0.2,0.003406297661315813,0.44,0.528504849632523,1.5445445445445445,2,24.2,63,True
/workspace/regression_data/images1/20170328_100807_HDR.jpg,70,0.014285714285714284,0.0034688124152059685,0.5857142857142857,0.5332544231489353,1.5534373194685154,1,86.9,134,True
/workspace/regression_data/images1/objfolder20141229-40A-row68-centrePost20-vine5.jpg,44,0.0,0.004825439270162258,0.6590909090909091,0.34199245541838136,0.9642857142857144,0,37.04545454545455,62,True
/workspace/regression_data/images1/Copy of IMG_20170302_095133.jpg,65,0.0,0.0013365449235535035,0.4923076923076923,1.511494746824511,1.1484375,0,48.6,109,True
/workspace/regression_data/images1/20170328_105448_HDR.jpg,59,0.0,0.0007374353196066753,0.6271186440677966,2.2198317626921904,1.91758560650029,0,72.08474576271186,88,True
/workspace/regression_data/images1/20170228_145114_HDR.jpg,26,0.19230769230769232,0.0032349055755753822,0.6153846153846154,0.5125667207898248,1.8148148148148149,2,39.384615384615394,66,True
/workspace/regression_data/images1/objfolder20141229-40A-row20-centrePost12-vine4.jpg,26,0.0,0.004952814241695403,0.7692307692307693,0.3262624798305768,1.1044776119402986,0,32.53846153846154,50,False
/workspace/regression_data/images1/Copy of IMG_20170301_101508.jpg,28,0.0,0.0029151365977858486,0.4642857142857143,0.4666365262100578,1.0070921985815602,0,26.17857142857143,48,False
/workspace/regression_data/images1/objfolder20141229-40A-row7-centrePost10-vine3.jpg,37,0.0,0.005120157655602795,0.8918918918918919,0.3686974189229647,1.4716417910447759,0,37.648648648648646,52,True
/workspace/regression_data/images1/20170330_110312_HDR.jpg,54,0.2222222222222222,0.0032554467548104077,0.4814814814814815,0.627026522802765,2.5383966244725737,2,91.33333333333331,76,True
/workspace/regression_data/images1/20170330_105831_HDR.jpg,78,0.01282051282051282,0.0009723373330552082,0.4743589743589744,2.355236150203955,1.66193853427896,1,91.48717948717949,143,True
/workspace/regression_data/images1/objfolder20141229-40A-row7-centrePost10-vine4.jpg,39,0.0,0.0017226212314517446,0.5641025641025641,1.3759882043584255,1.656338028169014,0,41.4102564102564,73,True
/workspace/regression_data/images1/20170301_122621_HDR.jpg,30,0.06666666666666668,0.0034744871955723977,0.6333333333333333,0.3519597406190622,1.4731814842027922,1,24.63333333333333,44,False
